land_description,latitude,longitude
NE-12-56-19-W4,53.8288067,-112.6846429
SW-18-56-18-W4,53.83250672,-112.6783528
NW-18-56-18-W4,53.84343359,-112.6783536
NW-13-56-19-W4,53.84344308,-112.6968794
NW-12-56-19-W4,53.8288076,-112.6969172
SW-18-56-18-W4,53.83621943,-112.6720366
SW-13-56-19-W4,53.83621632,-112.7031841
NW-18-56-18-W4,53.84343775,-112.6720689
NE-18-56-18-W4,53.8434487,-112.6597885
SE-03-56-19-W4,53.80714699,-112.7342366
SW-03-56-19-W4,53.80728032,-112.7462038
SW-03-56-19-W4,53.80729242,-112.7522568
SW-10-56-19-W4,53.82158591,-112.7463884
SE-10-56-19-W4,53.82161208,-112.7340877
SW-03-56-19-W4,53.80363786,-112.7517823
SE-04-56-19-W4,53.80713761,-112.7588062
SE-04-56-19-W4,53.80347838,-112.758548
SE-03-56-19-W4,53.80342264,-112.734256
SW-12-56-19-W4,53.8215856,-112.7032355
SW-02-56-19-W4,53.80714199,-112.721673
NE-35-55-19-W4,53.79972574,-112.7094423
SW-11-56-19-W4,53.82164381,-112.727818
SW-02-56-19-W4,53.80342297,-112.7279606
NE-34-55-19-W4,53.79974403,-112.7342322
NW-34-55-19-W4,53.79979134,-112.7462054
NE-33-55-19-W4,53.79983877,-112.75869
NW-34-55-19-W4,53.79990897,-112.7521532
NW-35-55-19-W4,53.79972006,-112.7279678
NW-26-56-19-W4,53.87254044,-112.7216709
NW-26-56-19-W4,53.87255406,-112.7279486
NE-27-56-19-W4,53.87255673,-112.7342245
SW-26-56-19-W4,53.86533192,-112.727943
SW-25-56-19-W4,53.86528454,-112.703152
NW-24-56-19-W4,53.85790115,-112.7031441
SW-25-56-19-W4,53.86159807,-112.7031378
SW-24-56-19-W4,53.8506701,-112.6968733
NW-24-56-19-W4,53.85789013,-112.696869
SE-25-56-19-W4,53.86157504,-112.6846293
NE-25-56-19-W4,53.87250418,-112.6846332
SE-25-56-19-W4,53.86527644,-112.684628
SW-25-56-19-W4,53.8652829,-112.6968732
NW-25-56-19-W4,53.87250171,-112.6968839
SE-26-56-19-W4,53.8616083,-112.7094093
NE-23-56-19-W4,53.85790944,-112.7094157
SE-26-56-19-W4,53.86529671,-112.7094214
SE-23-56-19-W4,53.85068355,-112.7094215
NW-25-56-19-W4,53.87250081,-112.7031631
